29,,Critical,ATS SPARE,Hirschmann/M-XFP-LR-LC M4000 Switch,404P126H56,,18,NA,Non-PAC,Nos,894600,18,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,
30,,Critical,ATS SPARE,SMPS of Hirshmann Mach4002 Switch,NA,,18,NA,Non-PAC,Nos,151200,18,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,
31,,Critical,ATS SPARE,SFP of Hirschmann MACH4002 Switch(RED),NA,,NA,NA,Non-PAC,Nos,48300,18,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,
32,,Critical,ATS SPARE,SFP of Hirschmann MACH4002 Switch(White),NA,,NA,NA,Non-PAC,Nos,64200,18,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,
33,,Critical,ATS SPARE,FIREWALL CISCO ASA 5520 series(Adaptive Security Appliance) 4GE SSM ,NA,,4,NA,Non-PAC,Nos,236700,18,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,
34,,Critical,ATS SPARE,"CISCO CATALYST 3650 V2 SERIES 48, 4 X SFP Switch",100245637,,4,Industrial trade linkers,Non-PAC,Nos,196200,18,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,
35,,Non-Critical,ATS SPARE,Monitor LCD (21.5 inches),100349518,,172,TARGUS TECHNOLOGIES PVT LTD,Non-PAC,Nos,9461,NA ,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,1,
36,,Non-Critical,ATS SPARE,Monitor LCD (32 or 31.5 inches),100349518,,3,TARGUS TECHNOLOGIES PVT LTD,Non-PAC,Nos,23500,NA,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,1,
37,,Critical,SIGNAL,Route Indicator,100278678,,72,RT VISION TECHNOLOGIES PVT. LTD.,Non-PAC,Nos,45000,18,0,0,0,0,0,0,0,0,0,0,0,15,15,0,2,0,0,2,0.666666667,1,
38,,Critical,SIGNAL,LED UNIT (voilet),100250016,,132,RT VISION TECHNOLOGIES PVT. LTD.,Non-PAC,Nos,7950,18,0,0,0,0,0,0,0,0,0,0,0,10,10,0,1,0,0,1,0.333333333,1,
